threshold,f1,recall
0.1,0.588994154404354,1.0
0.11,0.588994154404354,1.0
0.12,0.588994154404354,1.0
0.13,0.588994154404354,1.0
0.13999999999999999,0.588994154404354,1.0
0.14999999999999997,0.588994154404354,1.0
0.15999999999999998,0.588994154404354,1.0
0.16999999999999998,0.588994154404354,1.0
0.17999999999999997,0.588994154404354,1.0
0.18999999999999995,0.589023837121403,1.0
0.19999999999999996,0.5890535228303598,1.0
0.20999999999999996,0.5890003528759389,0.9996577686516085
0.21999999999999995,0.589006555723651,0.999315537303217
0.22999999999999993,0.589131641354256,0.9989733059548255
0.23999999999999994,0.5899949469429004,0.9989733059548255
0.24999999999999994,0.5902651285164946,0.9981177275838466
0.2599999999999999,0.590303460155023,0.9969199178644764
0.2699999999999999,0.5906183368869936,0.9953798767967146
0.2799999999999999,0.5909831060451862,0.993668720054757
0.2899999999999999,0.5919795657726692,0.9914442162902122
0.29999999999999993,0.5928205128205128,0.9890485968514716
0.3099999999999999,0.5932115959971113,0.9839151266255989
0.3199999999999999,0.594760370100842,0.978952772073922
0.3299999999999999,0.5962537383913112,0.9722792607802875
0.33999999999999986,0.5969025140553729,0.9628678986995208
0.34999999999999987,0.5983153602661087,0.9541409993155373
0.3599999999999999,0.5990848676326397,0.9409650924024641
0.3699999999999999,0.6005308560053085,0.9291581108829569
0.3799999999999999,0.601811736904293,0.9151266255989049
0.38999999999999985,0.6020308645516609,0.8978439425051334
0.39999999999999986,0.6006550473739619,0.8786789869952087
0.40999999999999986,0.5995100675150863,0.8584873374401095
0.4199999999999998,0.5972956361401353,0.83145106091718
0.4299999999999998,0.5934343434343434,0.8042436687200547
0.43999999999999984,0.5899065905552673,0.778062970568104
0.44999999999999984,0.5832385793592402,0.7460643394934976
0.45999999999999985,0.5777069180646056,0.7130390143737166
0.4699999999999998,0.5721043577981652,0.6829226557152636
0.4799999999999998,0.5657738095238095,0.6505817932922656
0.4899999999999998,0.5573593073593074,0.6168720054757015
0.4999999999999998,0.545147543619844,0.580082135523614
0.5099999999999998,0.5300742471010261,0.5436344969199178
0.5199999999999998,0.5160785677038067,0.5080424366872005
0.5299999999999998,0.5001809627216793,0.4729637234770705
0.5399999999999998,0.4852415867644294,0.4416495550992471
0.5499999999999998,0.468771381096667,0.41033538672142367
0.5599999999999998,0.44796426033099807,0.37748117727583846
0.5699999999999997,0.4276357489964082,0.3463381245722108
0.5799999999999997,0.40566348370102073,0.3162217659137577
0.5899999999999997,0.37866300366300365,0.28302532511978096
0.5999999999999998,0.35604082601471637,0.25667351129363447
0.6099999999999998,0.3334975369458128,0.23169062286105407
0.6199999999999998,0.30492930836836074,0.20482546201232033
0.6299999999999998,0.2848167539267016,0.1861738535249829
0.6399999999999997,0.26376889848812096,0.16718001368925395
0.6499999999999997,0.24083044982698962,0.14887063655030802
0.6599999999999997,0.21812508863990923,0.13158795345653662
0.6699999999999997,0.19288307915758895,0.1136208076659822
0.6799999999999997,0.1698646437602261,0.09770704996577687
0.6899999999999997,0.1534503631961259,0.08675564681724846
0.6999999999999997,0.13403173625019257,0.07443531827515401
0.7099999999999997,0.11558339859044636,0.06314168377823409
0.7199999999999998,0.09852216748768473,0.05304585900068446
0.7299999999999996,0.08404443728868137,0.044661190965092405
0.7399999999999997,0.06839276990718124,0.03593429158110883
0.7499999999999997,0.050165016501650166,0.026009582477754964
0.7599999999999997,0.041618112202430495,0.02138945927446954
0.7699999999999997,0.03116621983914209,0.01591375770020534
0.7799999999999997,0.02689527651706169,0.013689253935660506
0.7899999999999997,0.019594594594594596,0.009924709103353867
0.7999999999999996,0.012213740458015267,0.006160164271047228
0.8099999999999996,0.00884053043182591,0.004449007529089665
0.8199999999999996,0.005114217524718718,0.002566735112936345
0.8299999999999996,0.0034135518006485747,0.0017111567419575632
0.8399999999999996,0.0023919357594396036,0.0011978097193702942
0.8499999999999996,0.0013677551718242434,0.0006844626967830253
0.8599999999999997,0.0,0.0
0.8699999999999997,0.0,0.0
0.8799999999999997,0.0,0.0
0.8899999999999996,0.0,0.0
